25.03.2020,00217.189,00219.650,,
22.04.2020,00219.000,00221.809,,
22.06.2020,00221.809,00231.207,,
24.07.2020,00231.207,00233.310,,
21.08.2020,00233.310,00236.875,,
21.09.2020,00236.875,00242.201,,
20.11.2020,00246.990,00251.063,,
21.12.2020,00251.063,00253.814,,
24.01.2021,00253.814,00256.441,,
21.02.2021,00256.441,00258.107,,
21.03.2021,00258.107,00261.399,,
25.04.2021,00261.399,00266.353,,
23.05.2021,00266.353,00272.716,,
24.06.2021,00272.716,00275.982,,
24.07.2021,00275.982,00278.368,,
24.08.2021,00278.368,00281.065,,
21.09.2021,00281.065,00283.865,,
25.10.2021,00283.865,00286.026,,
24.04.2022,00294.451,00300.017,,
24.06.2022,00300.017,00312.807,,почему-то не сходятся показания с ЕРКЦ
24.07.2022,00312.807,00317.724,,
20.09.2022,00317.724,00324.840,,
23.12.2022,00324.840,00333.026,,
22.01.2023,,,,НЕ НАЙДЕН НОМЕР ЛИЦЕВОГО СЧЕТА
24.02.2023,,,,НЕ НАЙДЕН НОМЕР ЛИЦЕВОГО СЧЕТА
21.04.2023,,,,Ошибка. Не найден прибор учета.
20.05.2023,,,,Ошибка. Не найден прибор учета.
25.06.2023,00353.795,00360.789,,Надо же - починили блядь
24.07.2023,00360.789,00364.042,,
24.08.2023,00364.042,00367.828,,
23.09.2023,00367.828,00371.454,,
23.10.2023,00371.454,00376.479,,
23.11.2023,00376.479,00381.134,,
